data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor,case_company,order_id,order_date,shipment_date,expected_delivery_timestamp,delivery_date,delivery_status,delayed_flag,delay_minutes,product_category,seller_id,customer_city,customer_state,order_value_inr,freight_value_inr,transport_mode,carrier,route_id,hub_id,vehicle_type,vehicle_capacity_kg,shipment_weight_kg,load_utilization_pct,number_of_stops,planned_transit_time_hours,actual_transit_time_hours,time_deviation_minutes,time_deviation_pct,distance_deviation_pct,route_efficiency_pct,weekend_flag,holiday_flag,peak_season_flag,traffic_level,weather_condition,hub_workload_pct,dispatch_delay_minutes,processing_time_minutes,fuel_efficiency_km_per_l,fuel_consumption_l,fuel_cost_inr,toll_cost_inr,transportation_cost_inr,estimated_delay_cost_inr,estimated_co2_kg,co2_per_km_kg,co2_per_order_kg,data_provenance
test,2018-09-29 00:41:37.726771,thanos::sroute:db0f8027-8ade-4411-9aff-b26adaae3993,Carting,trip-153818169772651050,IND785690AAB,Sonari_Central_DPP_1 (Assam),IND785682AAA,Sivasagar_Babupaty_D (Assam),2018-09-29 04:09:50.737900,2018-09-29 07:26:31.904261,196.0,False,38,2018-09-29 04:39:55,38.836218624880864,141.0,34.0,46.2565,4.147058823529412,6.0,1.0,2.2074000000000003,6.0,Delhivery,DLV-WAI-00001,2018-09-29,2018-09-29,2018-09-29 05:43:50,2018-09-29,Delayed,1,47.0,Apparel,SELLER-044,Sivasagar_Babupaty_D,Assam,1381.13,167.9,Road,Delhivery,IND785690AAB_IND785682AAA,IND785690AAB,LCV,2500,1686.2,62.69,3,1.567,2.35,107.0,314.71,-16.04,24.11,1,0,0,Medium,Clear,82.24,18.83,58.32,7.26,5.414,513.68,41.25,929.16,411.68,14.51,0.36904,14.51,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-12 07:50:17.384719,thanos::sroute:ea8f6345-48e3-4561-a37b-cebc9bcdd77a,Carting,trip-153673861738446583,IND121004AAB,FBD_Balabhgarh_DPC (Haryana),IND121102AAA,Palwal (Haryana),2018-09-12 07:50:17.384719,2018-09-12 09:16:59.013720,86.0,True,18,2018-09-12 08:34:19,18.38097696910593,34.0,15,20.198400000000003,2.2666666666666666,10.0,5.0,8.3032,2.0,Delhivery,DLV-WAI-00002,2018-09-12,2018-09-12,2018-09-12 09:05:17,2018-09-12,On Time,0,0.0,Apparel,SELLER-082,Palwal,Haryana,2562.62,128.33,Road,Delhivery,IND121004AAB_IND121102AAA,IND121004AAB,Mini Truck,5000,1339.7,35,2,1.25,0.567,19.0,126.67,-9.0,44.12,0,0,0,Medium,Clear,74.42,12.44,59.53,6.0,3.063,291.63,13.92,738.2,242.64,8.21,0.44667,8.21,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-23 17:32:09.890812,thanos::sroute:7ca31057-59ba-47c9-8e88-efdcaa4172c4,Carting,trip-153772392989058491,IND560078AAC,BLR_JPNagar_Pc (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),2018-09-23 17:32:09.890812,2018-09-23 18:15:10.995069,43.0,False,15,2018-09-23 17:39:20,15.567239307974774,31.0,25,23.222099999999998,1.24,22.0,10.0,10.1801,2.2,Delhivery,DLV-WAI-00003,2018-09-23,2018-09-23,2018-09-23 18:57:09,2018-09-23,On Time,0,0.0,Apparel,SELLER-139,Bengaluru_Bomsndra_HB,Karnataka,2550.74,150.63,Road,Delhivery,IND560078AAC_IND560099AAB,IND560078AAC,Mini Truck,5000,962.7,35,2,1.417,0.517,6.0,24.0,-32.96,80.65,1,1,0,Medium,Heavy Rain,58.41,0.69,12.81,6.0,3.29,309.58,27.96,745.45,214.46,8.817,0.44667,8.817,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-21 00:42:38.650262,thanos::sroute:3a80fce3-d901-45e7-b1bb-48d6d8d1a267,Carting,trip-153749055865004545,IND786181AAC,Margherita_CivilHPL_D (Assam),IND786001AAB,Dibrugarh_Bokule_H (Assam),2018-09-21 05:19:19.752844,2018-09-21 08:37:01.983841,197.0,True,27,2018-09-21 07:52:16,27.537883465644555,39.0,26.0,28.3595,1.5,13.0,8.0,9.6463,1.625,Delhivery,DLV-WAI-00004,2018-09-21,2018-09-21,2018-09-21 06:45:19,2018-09-21,On Time,0,0.0,Automotive,SELLER-150,Dibrugarh_Bokule_H,Assam,2086.03,181.99,Road,Delhivery,IND786181AAC_IND786001AAB,IND786181AAC,LCV,2500,1248.5,38.21,2,1.433,0.65,13.0,50.0,-2.9,66.67,0,1,0,Medium,Cloudy,57.75,16.02,160.31,7.5,3.672,351.66,19.29,725.04,227.31,9.84,0.35733,9.84,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-20 20:51:06.829984,thanos::sroute:67c77992-49e3-4594-9a75-9861ef082a00,FTL,trip-153747666682973236,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND131028AAB,Sonipat_Kundli_H (Haryana),2018-09-20 20:51:06.829984,2018-09-22 10:02:41.559784,2231.0,True,792,2018-09-21 10:16:10,792.777993677835,1381.0,734.0,997.4441999999999,1.8814713896457766,127.0,12.0,13.603299999999999,10.583333333333334,Delhivery,DLV-WAI-00005,2018-09-20,2018-09-20,2018-09-21 10:05:06,2018-09-21,Delayed,1,587.0,Grocery,SELLER-116,Sonipat_Kundli_H,Haryana,4924.58,3212.51,Road,Delhivery,IND421302AAG_IND131028AAB,IND421302AAG,Heavy Truck,20000,3591.3,35,19,13.233,23.017,647.0,88.15,-20.52,53.15,0,0,0,Medium,Clear,74.87,110.96,854.45,3.5,242.236,21858.37,996.33,26080.8,1650.63,649.194,0.76571,649.194,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-17 04:40:21.508413,thanos::sroute:418b2f33-1b2d-450b-b84a-c3ea2780be72,Carting,trip-153715922150817817,IND382430AAB,Ahmedabad_East_H_1 (Gujarat),IND380054AAA,AMD_Memnagar (Gujarat),2018-09-17 04:40:21.508413,2018-09-17 07:25:06.539860,164.0,False,17,2018-09-17 04:40:21.508413,17.050898617939055,155.0,17.0,19.6892,9.117647058823529,131.0,7.0,9.3485,18.714285714285715,Delhivery,DLV-WAI-00006,2018-09-17,2018-09-17,2018-09-17 05:57:21,2018-09-17,Delayed,1,78.0,Home & Kitchen,SELLER-114,AMD_Memnagar,Gujarat,4353.04,136.94,Road,Delhivery,IND382430AAB_IND380054AAA,IND382430AAB,Mini Truck,5000,1860.3,35,2,1.283,2.583,138.0,811.76,-13.4,10.97,0,0,0,Medium,Clear,69.51,22.45,12.81,6.0,2.842,270.57,24.55,572.91,441.7,7.616,0.44667,7.616,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-12 00:00:33.691250,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,FTL,trip-153671043369099517,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),2018-09-14 03:40:17.106733,2018-09-14 17:34:55.442454,834.0,True,22,2018-09-14 16:54:36,24.680126976179853,36.0,19.0,27.2834,1.894736842105263,36.0,19.0,27.2834,1.894736842105263,Delhivery,DLV-WAI-00007,2018-09-12,2018-09-14,2018-09-14 04:59:17,2018-09-14,On Time,0,0.0,Electronics,SELLER-078,Chandigarh_Mehmdpur_H,Punjab,7367.72,214.77,Road,Delhivery,IND000000ACB_IND160002AAC,IND000000ACB,Heavy Truck,20000,15636.5,72.38,1,1.317,0.6,17.0,89.47,-9.54,52.78,0,0,0,Medium,Cloudy,87.51,1.26,799.0,3.3,7.469,679.44,22.52,1068.54,306.96,20.018,0.81109,20.018,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-10-03 19:21:34.733936,thanos::sroute:65298ce5-d9ee-4614-80fe-0b619cfd3758,FTL,trip-153859449473366865,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND302014AAA,Jaipur_Hub (Rajasthan),2018-10-03 19:21:34.733936,2018-10-06 00:08:33.866586,3166.0,True,176,2018-10-05 17:50:49,176.0406864296552,369.0,158.0,222.2964,2.3354430379746836,36.0,20.0,28.628700000000002,1.8,Delhivery,DLV-WAI-00008,2018-10-03,2018-10-03,2018-10-03 22:59:34,2018-10-04,Delayed,1,151.0,Toys,SELLER-145,Jaipur_Hub,Rajasthan,2592.07,746.62,Road,Delhivery,IND562132AAA_IND302014AAA,IND562132AAA,Truck,12000,3627.2,35,5,3.633,6.15,211.0,133.54,-20.81,42.82,0,0,1,Medium,Clear,77.11,40.35,2798.57,4.5,41.989,3970.89,214.59,5321.72,683.77,112.531,0.59556,112.531,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-09-29 02:24:08.502816,thanos::sroute:870bead8-6c8a-458f-b4d8-658de44bc675,FTL,trip-153818784850260867,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND834002AAB,Ranchi_Hub (Jharkhand),2018-09-29 02:24:08.502816,2018-09-30 08:21:39.601425,1797.0,True,440,2018-09-29 19:08:50,444.2706537912143,761.0,395,559.1834,1.9265822784810127,23.0,22.0,32.068400000000004,1.0454545454545454,Delhivery,DLV-WAI-00009,2018-09-29,2018-09-29,2018-09-29 09:59:08,2018-09-29,Delayed,1,306.0,Grocery,SELLER-014,Ranchi_Hub,Jharkhand,2319.63,1699.36,Road,Delhivery,IND000000ACB_IND834002AAB,IND000000ACB,Trailer,30000,7000.8,35,7,7.583,12.683,366.0,92.66,-20.55,51.91,1,0,0,High,Cloudy,59.46,65.64,1037.53,2.8,169.752,15858.89,851.34,18902.58,962.89,454.936,0.95714,454.936,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
training,2018-09-25 04:39:40.333946,thanos::sroute:506c52ff-dc43-4c46-ba24-2b137a54be9e,Carting,trip-153785038033369283,IND402109AAA,Roha_DataSagr_D (Maharashtra),IND402301AAA,Mahad_Govndsgr_D (Maharashtra),2018-09-25 06:43:29.481662,2018-09-25 08:13:49.794093,90.0,True,27,2018-09-25 07:32:38,28.76585902096429,39.0,26.0,37.1159,1.5,13.0,7.0,10.5317,1.8571428571428572,Delhivery,DLV-WAI-00010,2018-09-25,2018-09-25,2018-09-25 08:09:29,2018-09-25,On Time,0,0.0,Home & Kitchen,SELLER-058,Mahad_Govndsgr_D,Maharashtra,2068.3,143.36,Road,Delhivery,IND402109AAA_IND402301AAA,IND402109AAA,Mini Truck,5000,2155.8,47.92,2,1.433,0.65,13.0,50.0,-22.5,66.67,0,0,0,Medium,Rain,63.67,20.4,58.07,6.0,5.258,472.16,31.73,891.76,218.82,14.092,0.44667,14.092,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
test,2018-09-30 01:57:36.543246,thanos::sroute:64d4c6c9-ffb9-4794-b9f1-05f064c9dd0d,FTL,trip-153827265654297232,IND110037AAM,Delhi_Airport_H (Delhi),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),2018-09-30 01:57:36.543246,2018-10-01 16:14:24.334897,2296.0,True,132,2018-10-01 10:50:04,132.26787909786933,291.0,130.0,170.97220000000002,2.2384615384615385,22.0,30.0,30.336299999999998,0.7333333333333333,Delhivery,DLV-WAI-00011,2018-09-30,2018-09-30,2018-09-30 05:07:36,2018-09-30,Delayed,1,101.0,Automotive,SELLER-134,Bhiwandi_Mankoli_HB,Maharashtra,3787.11,572.41,Road,Delhivery,IND110037AAM_IND421302AAG,IND110037AAM,Heavy Truck,20000,15451.1,80.7,3,3.167,4.85,161.0,123.85,-22.64,44.67,1,0,0,Medium,Clear,76.01,35.31,2008.46,3.23,44.974,3966.32,229.17,5351.24,612.09,120.529,0.82937,120.529,Original 24 fields: public Delhivery dataset; added fields: synthetic/derived enrichment; service SLA = OSRM time + 60 min; cost/fuel/CO2 fields are assumption-based estimates
